stock index, vol index-export: , vol index-import: , unit value index-export: , unit value index-import: 
6255.893333,60.35,63.34,74.19,79.3
5920.045333,46.59,46.28,74.63,76.35
6677.4856,63.87,67.16,76.53,77.3
7389.863913,56.44,59.17,75.77,76.3
7504.583478,64.15,63.13,77.05,75.86
8055.319091,60.22,63.77,75.54,77.16
7915.839583,61.83,67.32,73.98,76.43
7655.869167,65.24,65.52,75.06,80.47
7977.152,56.24,52.93,76.84,83.57
7696.524583,68.09,70.63,75.89,84.52
7669.571304,68.82,62.15,75.41,85.69
7918.934545,63.92,60.9,77.71,88.9
9228.568636,65.45,65.18,79.78,87.57
9891.21125,49.53,55.58,79.86,84.23
9337.917917,64.31,70.01,81.12,85.25
9368.903636,65.72,71.23,80.59,87
8672.361667,70.98,75.02,80.62,86.14
8752.653043,66.99,66.72,80.79,88.95
8213.345217,73.01,77.03,81.43,90.4
7942.78875,66.58,66.72,84.63,93.54
7069.473913,66.57,65.24,85.99,93.1
5837.254348,71.62,71.71,84.78,89.36
5525.000417,67.81,70.72,85.29,90.13
5071.504783,64.78,63.91,87.73,89.22
5440.0625,49.52,59.9,92.76,85.89
5875.687895,51.66,59.54,90.32,82.92
5702.821818,60.44,68.16,89.35,80.01
5491.279,57.9,70.03,87.22,82.43
5157.191364,54.57,61.4,86.93,79.41
5049.0505,56.84,56.99,87.52,85.88
4452.491429,54.81,62.84,87.26,84.96
4495.409565,54.89,52.5,84.85,84.15
3949.177647,49.6,51.48,87.84,86.45
3782.453333,66.71,69.09,84.23,80.58
4317.987273,59.68,55.91,83.4,81.38
5264.158571,61.07,61.12,82.48,79.64
5736.998182,55.74,52.94,86.24,81.61
5747.758333,45.13,45.73,88.87,83.93
6057.679048,64.27,73.87,88.67,81.1
6258.537143,61.48,68.15,87.56,83.57
5708.804091,60.57,67.34,89.72,80.53
5429.0435,61.9,67.58,87.91,81.07
5146.003478,63.13,72.29,84.02,82.67
4841.69,60.4,62.39,86.49,81.57
4461.693,61.45,70.99,89.13,84.25
4271.868636,66.57,70.05,85.81,84.47
4675.60381,68.38,64.88,85.64,82.9
4621.363636,66.13,68.85,87.27,83.07
4890.004211,54.07,64.76,91.62,85.45
4585.724375,52.26,55.56,92.78,88.13
4449.202381,67,74.62,92.7,85.33
4449.607727,61.38,70.55,91.94,85.81
4319.444286,59.34,65.38,93.82,83.99
4869.946,60.94,68.7,93.47,86.52
5287.117391,61.07,67.49,93.18,88.7
5446.939524,63.22,65.74,95.15,90.23
5679.795238,62.62,68.46,97.33,90.73
5939.876818,67.21,69.31,93.56,88.11
5951.5185,70.47,77.09,94.3,90.57
5853.295652,71.46,80.9,95.08,92.2
6236.418667,55.11,64.35,102.97,93.46
6514.448,62.28,79.42,100.56,92.8
6658.078696,69.24,84.86,100.95,93.13
6666.2,65.41,75.67,100.7,95.65
5911.675238,71.65,86.64,103.77,92.6
5758.177143,65.71,84.95,104.65,96.54
5553.572273,66.54,79.29,105.61,98.31
5497.719,67.98,78.86,105.22,99.65
5865.556667,67.21,79.27,107.29,100.75
5885.4695,72.45,84.71,102.31,99.92
5885.477273,72.81,80.91,100.24,101.77
5967.392174,69.77,87.65,97.93,97.8
5917.563333,68.28,86.24,102,96.89
6100.641538,52.03,60.45,101.88,95.63
6103.93913,69.71,90.78,99.71,93.06
5876.1105,69.67,83.72,100.44,98.08
5930.403333,72.94,89.42,99.38,93.65
6221.289545,67.82,82.29,97.39,95.18
6334.576,70.61,80.28,98.66,99.91
6243.56,71.8,80.43,100.1,101.36
6066.79619,71.52,81.32,104.7,102.55
5879.8805,82.42,88.37,102.91,102.46
6024.750909,79.6,83.13,102.86,105.84
6377.193636,79.85,76.62,102.34,103.16
6609.319444,70.68,77.5,104.26,101.34
6614.031176,65.32,84.42,102.86,102.07
6500.623478,75.4,86.81,103.94,101.01
6941.093158,80.8,86.12,101.94,103.02
7123.002857,79.58,93.36,102.05,102.21
6547.769091,75.68,85.02,103.88,105.91
6504.236667,83.42,87.42,103.41,110.52
6551.763478,81.25,87.75,105.91,112
6781.579048,82.06,83.66,108.86,111.64
7029.3985,83.83,88.4,105.82,107.9
7266.973636,83,85.41,104.89,109.22
7630.301429,82.31,82.48,105.07,108.78
7814.786364,80.26,90.95,108.71,107.72
7817.8375,62.51,66.1,105.98,105.16
7689.343478,80.51,90.11,109.34,107.38
7991.8485,81.42,91.8,108.49,109.82
8086.964545,81.72,88.97,107.81,112.22
8579.5795,82.08,90.53,109.28,113.14
9358.130909,89.46,97.94,105.02,115.81
8756.780435,87.64,83.11,108.39,118.02
9069.111667,88.28,87.5,112.49,118.52
9605.185,93.4,90.93,107.55,114.08
8799.702273,90.15,80.13,106.01,117.33
8309.002381,95.96,93.83,107.19,121.08
7922.653636,86.04,92.2,112.56,120.96
7999.480714,68.33,71.36,111.73,119.53
8439.586667,92.25,104.89,109.96,119.13
8877.984762,86.05,90.28,106.97,120.25
8910.208571,88.03,88.18,110.73,122.25
8180.002381,88.75,89.72,112.44,128.22
7127.698636,82.57,87.64,113.81,133.97
7071.124762,91.4,91.18,115.14,140.47
6203.773333,80.76,81.04,116.38,135.33
5043.045455,82.07,77.02,110.35,122.58
4509.5255,70.88,69.9,105.68,118.69
4496.382609,60.08,59.26,102.48,109.4
4475.140667,52.8,48.66,104.72,101.57
4476.8725,57.1,60.72,100.82,100.7
4925.880455,71.46,70.51,102.19,99.89
5724.359545,67.54,69.67,99.7,101.91
6586.297778,73.02,71.72,99.53,99.47
6495.986957,75.39,78.58,99.13,104.74
6834.544348,77.09,77.09,99.73,108.63
6855.817,82.89,81.97,101.85,112.51
7321.116818,79.43,79.6,106.65,112.16
7588.721364,84.48,80.35,102.64,109.98
7611.728571,85.59,87.06,102.24,110.04
7836.693043,85.07,85.99,102.65,113.31
8098.5795,88.08,91.33,106.51,112.51
7431.712143,66.71,75.62,108.56,111.79
7775.163913,92.53,102.89,109.03,113.46
8052.446667,88.31,88.77,105.84,114.77
7525.677143,101.07,102.59,107.45,113.37
7383.415714,90.83,96.89,108.87,116.77
7638.862273,97.01,99.67,107.1,116.97
7883.908636,94.83,94.69,109.72,121.27
8039.502857,86.59,88.07,111.76,123.16
8210.014762,96.63,91.77,105.36,118.64
8350.263182,98.53,100.99,101.29,118.9
8777.113043,95.34,94.25,102.1,117.6
8970.7585,92.69,96.84,108.11,118.6
8742.564286,75.89,81.37,110.36,121.54
8575.486522,96.99,101.12,112.1,124.58
8860.918421,95.84,93.96,112.28,125.98
8910.542857,96.99,99.69,111.47,126.61
8748.664762,88.02,89.66,111.03,126.64
8681.23619,98.98,94.91,110.85,125.49
7763.333043,90.08,86.14,111.95,128.07
7385.134286,84.32,85.81,115.44,128.01
7345.0755,96.63,91.05,115.15,130.68
7275.441818,87.94,82.27,113.96,129.68
6969.147273,86.83,84.38,113.19,128.33
7176.736667,76.14,81.12,112.86,127.41
7855.9325,84.15,79.28,111.98,128.19
8019.99913,94.08,93.1,111.94,127.33
7620.8245,90.83,95.26,112.23,127.53
7356.840909,93.5,90.45,110.98,127.63
7142.521429,88.57,85.6,110.9,125.73
7187.136364,92.78,98.11,109.8,123.94
7409.595909,91.13,84.87,110.24,124.73
7610.3835,99.99,90.38,109.9,125.13
7438.137273,96.79,91.8,108.46,123.44
7255.633182,91.17,84.48,107.57,122.54
7630.805238,95.75,86.95,107.06,120.93
7759.254545,94.58,101.75,106.49,119.21
7932.681538,72.55,74.24,108.11,124.2
7906.990952,100.57,97.98,109.1,122.67
7893.419,93.23,93.95,109.03,121.85
8272.343182,99.85,91.67,107.56,119.11
7988.804211,99.51,96.1,107.68,120.22
8101.911739,95.79,93.31,107.82,119.67
7932.020476,96.47,87.38,107.69,119.41
8193.463,94.59,94.15,107.88,120.04
8366.176818,99.89,93.65,106.58,118.5
8236.520476,96.53,87.6,106.69,119.16
8431.400909,98.47,99.21,107.15,119.42
8566.620556,91.28,88.1,108.47,120.68
8496.090588,79.78,81.21,109.31,122.79
8687.445714,104.48,107.57,109.37,121.69
8900.141429,100.76,100.77,108.8,120.94
8936.22619,100.54,90.09,108.71,119.42
9229.308,101.28,103.61,108.19,120.41
9474.126364,100.9,101.65,107.96,119.18
9266.461905,105.75,100.73,107.93,118.29
9229.005238,99.51,97.35,107.86,116.78
8819.213182,103.35,98.06,106.98,115.56
9015.871,103.6,101.23,106.9,112.67
9109.307083,100.96,98.28,107.13,110.88
9281.738,101.43,101.97,106.32,106.61
9505.547692,80.82,77.66,104.12,102.93
9611.304091,103.61,107.47,103.71,104.29
9679.931,96.34,97.01,102.91,100.93
9689.296,104.19,102.61,101.78,100.28
9355.102857,93.88,104.46,102.22,102.23
8963.875,96.85,100.81,101.42,102.12
8156.217143,99.57,105.64,102.91,101.18
8205.508,95.59,93.63,104.15,101.7
8551.138095,102.66,98.37,103.29,100.38
8502.598095,95.28,108.68,102.42,98.95
