,x[1],x[2],x[3],x[4],y from real function (A),y from prediction (B),relative error (B-A)/A
0,49.52,59.9,92.76,85.89,5440.0625,5873.144617815478,0.07960976878767079
1,61.83,67.32,73.98,76.43,7915.839583,5653.996346622901,-0.28573636601158736
2,83.83,88.4,105.82,107.9,7029.3985,7810.295985333926,0.11109022846462979
3,68.33,71.36,111.73,119.53,7999.480714,7545.494086543589,-0.05675201224773039
4,88.28,87.5,112.49,118.52,9069.111667000001,8237.397932057589,-0.09170840160330025
5,99.85,91.67,107.56,119.11,8272.343181999999,8445.138781136555,0.020888349931195607
6,110.03,101.06,101.92,110.04,10986.51,8517.226072782756,-0.22475598959244056
7,75.4,86.81,103.94,101.01,6500.623478,7437.823408829736,0.14417077592656957
8,68.09,70.63,75.89,84.52,7696.524582999999,6042.511145965179,-0.2149039373808001
9,95.34,94.25,102.1,117.6,8777.113043000001,8258.517474326394,-0.059084982286653105
10,66.57,70.05,85.81,84.47,4271.868636,6217.33774927768,0.45541407731566763
11,99.38,99.28,100.18,97.8,8687.645652,7993.9945431854085,-0.0798433933196739
12,82.57,87.64,113.81,133.97,7127.698636,8468.960474921023,0.18817600286110397
13,94.58,101.75,106.49,119.21,7759.254545000001,8516.3919985524,0.09757863325160446
14,88.75,89.72,112.44,128.22,8180.002381,8482.86931717896,0.03702528704422388
15,117.42,107.56,99.0,105.37,10903.88565,8627.538593499172,-0.20876475868956204
16,101.28,103.61,108.19,120.41,9229.308,8742.556462206745,-0.05273976529911624
17,65.72,71.23,80.59,87.0,9368.903636,6160.64939135266,-0.3424364652785654
18,84.32,85.81,115.44,128.01,7385.1342859999995,8383.338291971542,0.13516396145481582
19,75.39,78.58,99.13,104.74,6495.986957,7249.086784471838,0.11593308799062567
20,82.89,81.97,101.85,112.51,6855.816999999999,7674.287532632947,0.1193833692808527
21,66.58,66.72,84.63,93.54,7942.78875,6309.737674889155,-0.2056017258561541
22,111.87,104.6,102.64,112.4,10909.41652,8683.973581027078,-0.20399284736200748
23,54.81,62.84,87.26,84.96,4452.491429,5893.170535732566,0.32356695789443296
24,94.59,94.15,107.88,120.04,8193.463,8417.150642024253,0.027300744755209532
25,98.98,94.91,110.85,125.49,8681.236190000001,8690.60313469844,0.0010789874268400247
26,68.82,62.15,75.41,85.69,7669.571304000001,5906.248644955011,-0.22991150211033884
27,102.66,98.37,103.29,100.38,8551.138095,8159.289128909826,-0.045824188749716846
28,117.05,115.38,103.27,113.2,10088.35636,9021.325096134853,-0.10576859359329241
29,96.63,91.05,115.15,130.68,7345.0755,8768.892559981221,0.1938464839444089
30,80.26,90.95,108.71,107.72,7814.7863640000005,7849.994527588956,0.004505326434916648
31,108.58,112.49,99.36,105.26,11005.37636,8557.743130545627,-0.22240340987796745
32,51.66,59.54,90.32,82.92,5875.687895,5794.63830072256,-0.013794060495692753
33,104.48,107.57,109.37,121.69,8687.445714,8931.963857672088,0.028146149250526258
34,73.01,77.03,81.43,90.4,8213.345217,6499.502924889855,-0.20866556157445204
35,72.45,84.71,102.31,99.92,5885.4695,7283.06894486737,0.23746609252963932
36,101.43,101.97,106.32,106.61,9281.738000000001,8396.035084607822,-0.09542425302159782
37,63.22,65.74,95.15,90.23,5446.939524,6389.020580372654,0.1729560337913995
38,71.8,80.43,100.1,101.36,6243.56,7168.806570854327,0.14819214852653403
39,96.47,87.38,107.69,119.41,7932.020476000001,8306.188457763063,0.04717183760369582
40,116.93,108.04,100.5,104.76,10501.397140000001,8647.809653236158,-0.17650865518679384
41,88.03,88.18,110.73,122.25,8910.208571,8282.182520013082,-0.07048387767610169
42,105.75,97.48,97.59,99.37,10259.00087,8057.137143437141,-0.21462750168992417
43,70.98,75.02,80.62,86.14,8672.361667000001,6318.459911211044,-0.2714256907372769
44,76.14,81.12,112.86,127.41,7176.736667,8066.979609109012,0.1240456468470577
45,66.54,79.29,105.61,98.31,5553.572273,7104.351049286139,0.2792398658113473
46,96.79,91.8,108.46,123.44,7438.137273,8495.199882223884,0.14211388825276974
47,64.27,73.87,88.67,81.1,6057.679048,6241.291109765907,0.03031062892421288
48,94.83,94.69,109.72,121.27,7883.908636,8496.995154996008,0.07776428511569673
49,55.11,64.35,102.97,93.46,6236.418667,6441.247626910605,0.0328440040426498
50,95.23,99.97,102.37,99.93,7871.480476000001,8017.777120449286,0.01858565804683639
51,100.9,101.65,107.96,119.18,9474.126364,8667.764461368735,-0.08511200628432578
52,95.95,92.36,99.31,98.61,8567.991053,7791.795048667111,-0.09059253208033072
53,80.82,77.66,104.12,102.93,9505.547692,7408.5238207322745,-0.22061052547583446
54,116.6,106.81,98.94,101.32,10500.59727,8514.70586525369,-0.18912175695186045
55,98.39,99.55,100.57,101.81,8595.41619,8069.073371860153,-0.061235291753783797
56,91.4,91.18,115.14,140.47,7071.124762,8866.887260802388,0.25395712269888926
57,98.51,103.93,99.37,101.64,9801.368333,8126.2134822907965,-0.17091030494886758
58,52.03,60.45,101.88,95.63,6100.641538,6326.439659445587,0.037012192904487734
59,101.07,102.59,107.45,113.37,7525.677143000001,8561.38971391762,0.13762383786035606
